Change,Excluded,Original,en,it,
,,Talk,Talk,Parla,
,,Info,Info,Info,
,,Join party,Join party,Unisciti al Party,
,,Cancel,Cancel,Annulla,
NEW,,"If you come across a high level that can one-shot
you and your friends, you should flee before
anybody get hurt.",,,
,,Your party is full.,Your party is full.,Il tuo Party è al completo.,
,,2000\G were found!,2000\G were found!,2000\G trovati!,
,,Treat wounds,Treat wounds,Cura ferite,
,,Shop,Shop,Negozio,
NEW,,...,,,
,,Secret shop,Secret shop,Negozio segreto,
,,Online shopping is subjected to tariffs!,Online shopping is subjected to tariffs!,Lo shopping online è soggetto a dazi!,
,,Trust only your local shopkeeper!,Trust only your local shopkeeper!,Fidati solo del tuo negoziante locale!,
,,Who knows? I'm full of surprises!,Who knows? I'm full of surprises!,Chi lo sa? Sono pieno di sorprese!,
,,Music,Music,Musica,
,,Change battle music,Change battle music,Cambia musica di battaglia,
,,Play random music,Play random music,Riproduci musica casuale,
,,Urban Lucky Charm was found!,Urban Lucky Charm was found!,Amuleto Urbano Fortunato trovato!,
NEW,,"Change class? You will return at LV.1 but keep all
your skills",,,
,,No,No,No,
,,Yes,Yes,Sì,
NEW,,"Since you are under LV.10 you can change your class, but
you will forget all your skills.
You will also return to LV.1",,,
,,You need to be at least LV.10 to change your class,You need to be at least LV.10 to change your class,Devi essere almeno al LV.10 per cambiare classe,
,,1000\G were found!,1000\G were found!,1000\G trovati!,
,,Access to the server room is prohibithed.,Access to the server room is prohibithed.,Accesso alla sala server vietato.,
,,Travel to the world map?,Travel to the world map?,Viaggiare verso la mappa del mondo?,
NEW,,"The rest of the world is still a work in progress,
come back when the full game releases!",,,
,,The door is stucked,The door is stucked,La porta è bloccata,
,,Select floor,Select floor,Seleziona piano,
,,Worthiness,Worthiness,Dignità,
,,Chat,Chat,Chatta,
,,Close,Close,Chiudi,
,,Your worthiness is \V[2],Your worthiness is \V[2],La tua dignità è \V[2],
,,YOU ARE NOT WORTHY.,YOU ARE NOT WORTHY.,NON SEI DEGNO.,
,,Worhy,Worhy,Degno,
,,SUperWorthy,Super Worthy,Super Degno,
,,Generate Dungeon,Generate Dungeon,Genera Dungeon,
,,Next floor,Next floor,Piano successivo,
,,Previous floor,Previous floor,Piano precedente,
,,You are now worthy,You are now worthy,Ora sei degno,
,,\V[2],\V[2],\V[2],
,,You are now super worthy,You are now super worthy,Ora sei super degno,
,,\V[10]\G were found!,\V[10]\G were found!,\V[10]\G trovati!,
,,spleen,spleen,,
,,foot,foot,,
,,Whoa! You trekked all the way to the tower?,Whoa! You trekked all the way to the tower?,Wow! Hai fatto tutta la strada fino alla torre?,
NEW,,"Didn't you know that there is a easier way to
get to the tower? Just take the Hypermetro!",,,
NEW,,"How did you manage to survive the arcane mist 
and stuff in the first place?",,,
NEW,,"I'm trying to make this tower self sufficient 
you know? ",,,
NEW,,"The Hypermetro is the only lifeline
connecting this place to the rest of the world.",,,
NEW,,"But what happens if a PSIterrorist dedices to
blow up the tunnels? We will be all starve to death
or be forced to eat monsters that lives in
upper floors",,,
,,Bank,Bank,Banca,
,,Stock market,Stock market,Mercato azionario,
